session_id,applicant_id,event_user,event_type,event_date_time
P2F4kSPf5a,YVotX3F2N,,UNDERWRITING_CREATED,2258-11-05 15:58:50.196000+00:00
Oxu16UriGm,kldtjKhwY,,UNDERWRITING_CREATED,2259-06-10 14:08:13.752000+00:00
Oxu16UriGm,kldtjKhwY,,UNDERWRITING_CREATED,2259-06-10 14:08:13.752000+00:00
Oxu16UriGm,kldtjKhwY,,UNDERWRITING_CREATED,2259-06-10 14:08:13.752000+00:00
Oxu16UriGm,kldtjKhwY,,APPLICANT_ENTERED_UNDERWRITING,2259-06-11 13:58:07.706000+00:00
Oxu16UriGm,kldtjKhwY,,APPLICANT_ENTERED_UNDERWRITING,2259-06-11 13:58:07.706000+00:00
Oxu16UriGm,kldtjKhwY,,APPLICANT_ENTERED_UNDERWRITING,2259-06-11 14:01:15.101000+00:00
Oxu16UriGm,kldtjKhwY,,APPLICANT_ENTERED_UNDERWRITING,2259-06-11 14:01:15.101000+00:00
Oxu16UriGm,kldtjKhwY,,ALLY_ENTERED_UNDERWRITING,2259-06-11 14:02:12.115000+00:00
Oxu16UriGm,kldtjKhwY,,ALLY_ENTERED_UNDERWRITING,2259-06-11 14:02:12.115000+00:00
Oxu16UriGm,kldtjKhwY,,VIDEO_SESSION_CONNECTION_CREATED,2259-06-11 14:04:17.018000+00:00
Oxu16UriGm,kldtjKhwY,,VIDEO_SESSION_CONNECTION_CREATED,2259-06-11 14:04:17.018000+00:00
Oxu16UriGm,kldtjKhwY,,ALLY_FORCE_DISCONNECT,2259-06-11 14:11:26.522000+00:00
Oxu16UriGm,kldtjKhwY,,APPLICANT_ENTERED_UNDERWRITING,2259-06-11 14:11:30.623000+00:00
Oxu16UriGm,kldtjKhwY,,VIDEO_SESSION_CONNECTION_CREATED,2259-06-11 14:11:31.505000+00:00
Oxu16UriGm,kldtjKhwY,,APPLICANT_ENTERED_UNDERWRITING,2259-06-11 14:12:31.797000+00:00
Oxu16UriGm,kldtjKhwY,,VIDEO_SESSION_CONNECTION_CREATED,2259-06-11 14:12:33.069000+00:00
Oxu16UriGm,kldtjKhwY,,VIDEO_SESSION_CONNECTION_DESTROYED,2259-06-11 14:14:31.458000+00:00
